"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"35","山口県","35201","下関市","352010001001","伊倉新町一丁目","34.006140","130.939694","1","3"
"35","山口県","35201","下関市","352010001002","伊倉新町二丁目","34.007128","130.938124","1","3"
"35","山口県","35201","下関市","352010001003","伊倉新町三丁目","34.006586","130.932579","1","3"
"35","山口県","35201","下関市","352010001004","伊倉新町四丁目","34.005497","130.934763","1","3"
"35","山口県","35201","下関市","352010001005","伊倉新町五丁目","34.005073","130.931106","1","3"
"35","山口県","35201","下関市","352010002001","王喜宇津井一丁目","34.064029","131.041985","1","3"
"35","山口県","35201","下関市","352010002002","王喜宇津井二丁目","34.063015","131.047163","1","3"
"35","山口県","35201","下関市","352010002003","王喜宇津井三丁目","34.061331","131.050887","1","3"
"35","山口県","35201","下関市","352010003000","大字彦島","33.933926","130.929560","1","1"
"35","山口県","35201","下関市","352010004000","工領開作","34.041274","131.066232","1","1"
"35","山口県","35201","下関市","352010005001","木屋川南町一丁目","34.072185","131.064388","1","3"
"35","山口県","35201","下関市","352010005002","木屋川南町二丁目","34.073345","131.056162","1","3"
"35","山口県","35201","下関市","352010005003","木屋川南町三丁目","34.069573","131.057142","1","3"
"35","山口県","35201","下関市","352010005004","木屋川南町四丁目","34.070490","131.052586","1","3"
"35","山口県","35201","下関市","352010006001","白崎一丁目","34.058613","131.042325","1","3"
"35","山口県","35201","下関市","352010006002","白崎二丁目","34.056704","131.044905","1","3"
"35","山口県","35201","下関市","352010006003","白崎三丁目","34.059587","131.049603","1","3"
"35","山口県","35201","下関市","352010006004","白崎四丁目","34.055755","131.050801","1","3"
"35","山口県","35201","下関市","352010007000","長州出島","33.989462","130.898263","1","1"
"35","山口県","35201","下関市","352010008000","菊川町大字轡井","34.121231","131.080934","1","1"
"35","山口県","35201","下関市","352010009000","菊川町大字道市","34.132466","131.075557","1","1"
"35","山口県","35201","下関市","352010010000","菊川町大字樅ノ木","34.142092","131.077102","1","1"
"35","山口県","35201","下関市","352010011000","菊川町大字東中山","34.152929","131.048507","1","1"
"35","山口県","35201","下関市","352010012000","菊川町大字西中山","34.152267","131.040918","1","1"
"35","山口県","35201","下関市","352010013000","菊川町大字上保木","34.131130","131.043607","1","1"
"35","山口県","35201","下関市","352010014000","菊川町大字下保木","34.116388","131.059058","1","1"
"35","山口県","35201","下関市","352010015000","菊川町大字下大野","34.095188","131.055367","1","1"
"35","山口県","35201","下関市","352010016000","菊川町大字上大野","34.111065","131.052525","1","1"
"35","山口県","35201","下関市","352010017000","菊川町大字田部","34.110438","131.035552","1","1"
"35","山口県","35201","下関市","352010018000","菊川町大字上田部","34.107191","131.024650","1","1"
"35","山口県","35201","下関市","352010019000","菊川町大字七見","34.111169","131.010146","1","1"
"35","山口県","35201","下関市","352010020000","菊川町大字下岡枝","34.130684","131.037509","1","1"
"35","山口県","35201","下関市","352010021000","菊川町大字上岡枝","34.142209","131.026653","1","1"
"35","山口県","35201","下関市","352010022000","菊川町大字吉賀","34.129045","131.010952","1","1"
"35","山口県","35201","下関市","352010023000","菊川町大字楢崎","34.134593","130.993896","1","1"
"35","山口県","35201","下関市","352010024000","菊川町大字貴飯","34.160103","131.003430","1","1"
"35","山口県","35201","下関市","352010025000","豊田町大字杢路子","34.215424","131.010828","1","1"
"35","山口県","35201","下関市","352010026000","豊田町大字殿居","34.278102","131.035999","1","1"
"35","山口県","35201","下関市","352010027000","豊田町大字佐野","34.269222","131.048814","1","1"
"35","山口県","35201","下関市","352010028000","豊田町大字荒木","34.253858","131.047645","1","1"
"35","山口県","35201","下関市","352010029000","豊田町大字一ノ俣","34.278206","131.059331","1","1"
"35","山口県","35201","下関市","352010030000","豊田町大字稲見","34.246044","131.090081","1","1"
"35","山口県","35201","下関市","352010031000","豊田町大字金道","34.227341","131.072305","1","1"
"35","山口県","35201","下関市","352010032000","豊田町大字宇内","34.242366","131.077803","1","1"
"35","山口県","35201","下関市","352010033000","豊田町大字八道","34.221353","131.055625","1","1"
"35","山口県","35201","下関市","352010034000","豊田町大字鷹子","34.206639","131.044169","1","1"
"35","山口県","35201","下関市","352010035000","豊田町大字浮石","34.241729","131.046028","1","1"
"35","山口県","35201","下関市","352010036000","豊田町大字今出","34.248159","131.156091","1","1"
"35","山口県","35201","下関市","352010037000","豊田町大字地吉","34.251940","131.124123","1","1"
"35","山口県","35201","下関市","352010038000","豊田町大字大河内","34.228924","131.117796","1","1"
"35","山口県","35201","下関市","352010039000","豊田町大字殿敷","34.201987","131.083411","1","1"
"35","山口県","35201","下関市","352010040000","豊田町大字楢原","34.212431","131.083840","1","1"
"35","山口県","35201","下関市","352010041000","豊田町大字西市","34.202085","131.075596","1","1"
"35","山口県","35201","下関市","352010042000","豊田町大字矢田","34.201883","131.072901","1","1"
"35","山口県","35201","下関市","352010043000","豊田町大字庭田","34.195688","131.045439","1","1"
"35","山口県","35201","下関市","352010044000","豊田町大字中村","34.191242","131.074099","1","1"
"35","山口県","35201","下関市","352010045000","豊田町大字稲光","34.181516","131.079216","1","1"
"35","山口県","35201","下関市","352010046000","豊田町大字日野","34.174943","131.078018","1","1"
"35","山口県","35201","下関市","352010047000","豊田町大字高山","34.169324","131.075907","1","1"
"35","山口県","35201","下関市","352010048000","豊田町大字萩原","34.158945","131.085580","1","1"
"35","山口県","35201","下関市","352010049000","豊田町大字手洗","34.179091","131.067219","1","1"
"35","山口県","35201","下関市","352010050000","豊田町大字東長野","34.169934","131.060247","1","1"
"35","山口県","35201","下関市","352010051000","豊田町大字西長野","34.172408","131.057878","1","1"
"35","山口県","35201","下関市","352010052000","豊田町大字城戸","34.161938","131.054469","1","1"
"35","山口県","35201","下関市","352010053000","豊田町大字江良","34.183236","131.057145","1","1"
"35","山口県","35201","下関市","352010054000","豊田町大字阿座上","34.191942","131.063318","1","1"
"35","山口県","35201","下関市","352010055000","豊北町大字神田上","34.286210","130.895082","1","1"
"35","山口県","35201","下関市","352010056000","豊北町大字矢玉","34.275310","130.889981","1","1"
"35","山口県","35201","下関市","352010057000","豊北町大字角島","34.357597","130.872258","1","1"
"35","山口県","35201","下関市","352010058000","豊北町大字神田","34.326550","130.901693","1","1"
"35","山口県","35201","下関市","352010059000","豊北町大字阿川","34.330378","130.922271","1","1"
"35","山口県","35201","下関市","352010060000","豊北町大字粟野","34.329555","130.977910","1","1"
"35","山口県","35201","下関市","352010061000","豊北町大字滝部","34.290193","130.951907","1","1"
"35","山口県","35201","下関市","352010062000","豊北町大字北宇賀","34.246280","130.955314","1","1"
"35","山口県","35201","下関市","352010063000","豊北町大字田耕","34.270814","130.991263","1","1"
"35","山口県","35201","下関市","352010064000","赤池町","34.059209","131.011213","1","1"
"35","山口県","35201","下関市","352010065001","垢田町一丁目","33.993268","130.923476","1","3"
"35","山口県","35201","下関市","352010065002","垢田町二丁目","33.990855","130.924923","1","3"
"35","山口県","35201","下関市","352010065003","垢田町三丁目","33.991712","130.921202","1","3"
"35","山口県","35201","下関市","352010065004","垢田町四丁目","33.990583","130.916876","1","3"
"35","山口県","35201","下関市","352010065005","垢田町五丁目","33.995258","130.920305","1","3"
"35","山口県","35201","下関市","352010066000","赤間町","33.959223","130.943290","1","1"
"35","山口県","35201","下関市","352010067001","秋根上町一丁目","34.012911","130.956800","1","3"
"35","山口県","35201","下関市","352010067002","秋根上町二丁目","34.010596","130.958810","1","3"
"35","山口県","35201","下関市","352010067003","秋根上町三丁目","34.007697","130.960291","1","3"
"35","山口県","35201","下関市","352010068000","秋根北町","34.013857","130.951752","1","1"
"35","山口県","35201","下関市","352010069000","秋根新町","34.011035","130.946955","1","1"
"35","山口県","35201","下関市","352010070001","秋根西町一丁目","34.008761","130.946800","1","3"
"35","山口県","35201","下関市","352010070002","秋根西町二丁目","34.007231","130.946197","1","3"
"35","山口県","35201","下関市","352010071000","秋根東町","34.009791","130.954148","1","1"
"35","山口県","35201","下関市","352010072001","秋根本町一丁目","34.009682","130.950348","1","3"
"35","山口県","35201","下関市","352010072002","秋根本町二丁目","34.010580","130.952667","1","3"
"35","山口県","35201","下関市","352010073001","秋根南町一丁目","34.007185","130.950146","1","3"
"35","山口県","35201","下関市","352010073002","秋根南町二丁目","34.007424","130.954580","1","3"
"35","山口県","35201","下関市","352010074000","阿弥陀寺町","33.959523","130.948443","1","1"
"35","山口県","35201","下関市","352010075001","綾羅木新町一丁目","34.009275","130.921825","1","3"
"35","山口県","35201","下関市","352010075002","綾羅木新町二丁目","34.011571","130.918414","1","3"
"35","山口県","35201","下関市","352010075003","綾羅木新町三丁目","34.011330","130.922823","1","3"
"35","山口県","35201","下関市","352010075004","綾羅木新町四丁目","34.007827","130.925163","1","3"
"35","山口県","35201","下関市","352010076001","綾羅木本町一丁目","34.005777","130.927017","1","3"
"35","山口県","35201","下関市","352010076002","綾羅木本町二丁目","34.003434","130.925939","1","3"
"35","山口県","35201","下関市","352010076003","綾羅木本町三丁目","34.001481","130.924181","1","3"
"35","山口県","35201","下関市","352010076004","綾羅木本町四丁目","34.004718","130.922742","1","3"
"35","山口県","35201","下関市","352010076005","綾羅木本町五丁目","34.006181","130.923179","1","3"
"35","山口県","35201","下関市","352010076006","綾羅木本町六丁目","34.008038","130.919535","1","3"
"35","山口県","35201","下関市","352010076007","綾羅木本町七丁目","34.006258","130.916840","1","3"
"35","山口県","35201","下関市","352010076008","綾羅木本町八丁目","34.004834","130.919224","1","3"
"35","山口県","35201","下関市","352010076009","綾羅木本町九丁目","34.003410","130.921757","1","3"
"35","山口県","35201","下関市","352010077001","綾羅木南町一丁目","34.001644","130.921334","1","3"
"35","山口県","35201","下関市","352010077002","綾羅木南町二丁目","34.002723","130.916749","1","3"
"35","山口県","35201","下関市","352010077003","綾羅木南町三丁目","34.002311","130.911755","1","3"
"35","山口県","35201","下関市","352010078000","あるかぽーと","33.952361","130.940024","1","1"
"35","山口県","35201","下関市","352010079001","生野町一丁目","33.981099","130.935792","1","3"
"35","山口県","35201","下関市","352010079002","生野町二丁目","33.984246","130.935274","1","3"
"35","山口県","35201","下関市","352010080001","伊倉町一丁目","34.002952","130.929120","1","3"
"35","山口県","35201","下関市","352010080002","伊倉町二丁目","34.004742","130.929168","1","3"
"35","山口県","35201","下関市","352010080003","伊倉町三丁目","34.001732","130.933040","1","3"
"35","山口県","35201","下関市","352010081000","伊倉東町","34.005998","130.943188","1","1"
"35","山口県","35201","下関市","352010082000","伊倉本町","34.003647","130.936919","1","1"
"35","山口県","35201","下関市","352010083001","伊崎町一丁目","33.954632","130.917644","1","3"
"35","山口県","35201","下関市","352010083002","伊崎町二丁目","33.956178","130.909282","1","3"
"35","山口県","35201","下関市","352010084000","石神町","33.974034","130.938091","1","1"
"35","山口県","35201","下関市","352010085000","一の宮卸本町","33.989084","130.949083","1","1"
"35","山口県","35201","下関市","352010086000","一の宮学園町","33.999048","130.947626","1","1"
"35","山口県","35201","下関市","352010087001","一の宮住吉一丁目","34.002342","130.956793","1","3"
"35","山口県","35201","下関市","352010087002","一の宮住吉二丁目","33.997786","130.956468","1","3"
"35","山口県","35201","下関市","352010087003","一の宮住吉三丁目","33.994449","130.954748","1","3"
"35","山口県","35201","下関市","352010088001","一の宮町一丁目","34.004137","130.945911","1","3"
"35","山口県","35201","下関市","352010088002","一の宮町二丁目","34.002855","130.950003","1","3"
"35","山口県","35201","下関市","352010088003","一の宮町三丁目","33.997766","130.951053","1","3"
"35","山口県","35201","下関市","352010088004","一の宮町四丁目","33.995044","130.950475","1","3"
"35","山口県","35201","下関市","352010088005","一の宮町五丁目","33.992800","130.948931","1","3"
"35","山口県","35201","下関市","352010089001","一の宮東町一丁目","34.004269","130.959540","1","3"
"35","山口県","35201","下関市","352010089002","一の宮東町二丁目","33.998963","130.959997","1","3"
